CI_ID,Serial_Number,Discovered_User,Discovered_Encryption,Last_Discovery_Date,Discovery_Source
CI966390,HP9715492510,user8312,Encrypted,2024-08-15,SCCM
CI715000,APP9407182512,user1828,,2024-09-12,JAMF
CI481810,APP1052412513,user8603,Encrypted,2024-09-29,SCCM
CI952131,MIC4938532516,user2884,Encrypted,2024-09-03,JAMF
CI168971,LEN1967252519,user8522,Encrypted,2024-08-05,SCCM
CI421553,LEN5838522520,user8431,Encrypted,2024-09-24,SCCM
CI493277,APP2592692521,user1344,Unknown,2024-08-23,JAMF
CI781600,APP3304012522,user4581,Unknown,2024-08-08,JAMF
CI563006,LEN6022702523,user7190,Encrypted,2024-08-25,JAMF
CI427765,DEL8075082524,user8688,,2024-08-28,SCCM
CI556614,APP3296252525,user3450,Encrypted,2024-08-22,SCCM
CI264375,LEN2855632526,user7417,Encrypted,2024-08-12,Intune
CI346044,HP1167302527,user6455,Encrypted,2024-08-26,Intune
CI885234,DEL5281472529,user4339,Encrypted,2024-09-09,Intune
CI473314,HP4201042530,user1789,Not Encrypted,2024-08-19,JAMF
CI229461,MIC7563802531,user2525,Encrypted,2024-10-03,Intune
CI935099,MIC5497332532,user5775,Encrypted,2024-08-29,SCCM
CI997472,APP4589132533,user1821,Encrypted,2024-08-12,Intune
CI353782,LEN9245752534,user6988,Encrypted,2024-08-22,SCCM
CI251726,LEN9837482535,user2647,Encrypted,2024-08-25,Intune
CI654349,LEN1575302536,user8967,Encrypted,2024-09-30,Intune
CI519974,HP7643652537,user3979,,2024-08-04,SCCM
CI883963,LEN2647252538,user6939,,2024-08-09,SCCM
CI572730,APP5407342540,user7124,Encrypted,2024-08-10,SCCM
CI733612,LEN4641692541,user7210,Encrypted,2024-10-12,Intune
CI805462,HP1634252542,user4564,,2024-08-13,SCCM
CI238261,HP4880692543,user1329,,2024-10-03,SCCM
CI434247,APP5419012544,user9926,Encrypted,2024-10-22,SCCM
CI174147,APP2573232545,user2232,Encrypted,2024-08-26,JAMF
CI288462,MIC7566842546,user5721,,2024-10-24,SCCM
CI640200,HP7166532547,user5200,Encrypted,2024-09-19,SCCM
CI219176,MIC4563782548,user4316,Encrypted,2024-09-28,Intune
CI523783,HP9336102549,user9304,Unknown,2024-09-17,SCCM
CI290053,APP2469802550,user7280,Not Encrypted,2024-09-15,JAMF
CI522981,MIC7247822551,user1059,Encrypted,2024-10-24,JAMF
CI361061,APP9812372552,user8994,Encrypted,2024-10-02,JAMF
CI530737,APP4192172553,user9262,Not Encrypted,2024-08-14,SCCM
CI154315,APP1600432555,user7351,,2024-09-20,Intune
CI944907,HP6589562556,user9920,Encrypted,2024-08-08,JAMF
CI339132,HP4608402557,user2686,Encrypted,2024-10-17,SCCM
CI521900,APP1313512558,user5921,Encrypted,2024-08-26,Intune
CI625094,HP4808282561,user9789,,2024-09-15,Intune
CI557582,HP6009662562,user3454,Encrypted,2024-10-18,SCCM
CI778240,APP7344002563,user8872,,2024-09-29,SCCM
CI135182,MIC5514372564,user1717,Not Encrypted,2024-09-05,Intune
CI910984,LEN7740592565,user7365,Encrypted,2024-10-09,Intune
CI570703,MIC2175362566,user7651,Encrypted,2024-09-21,Intune
CI285475,LEN7683342567,user3613,Encrypted,2024-08-04,SCCM
CI433945,MIC5020802568,user2316,,2024-08-23,SCCM
CI521476,LEN3284662569,user8173,,2024-09-20,SCCM
CI560691,MIC4198262570,user7988,,2024-09-02,SCCM
CI364304,LEN3737522571,,Unknown,2024-08-10,SCCM
CI288964,APP4519292572,,,2024-10-16,JAMF
CI705191,DEL1331142573,user9057,Unknown,2024-10-17,JAMF
CI400380,DEL9003222574,user4800,,2024-10-18,Intune
CI264013,MIC5286502575,user5667,,2024-10-29,SCCM
CI856673,LEN7085402576,user1959,,2024-08-10,Intune
CI820691,DEL4379912577,user9662,Encrypted,2024-10-07,Intune
CI918600,HP6558322578,user1578,Encrypted,2024-08-05,Intune
CI575693,HP8734522579,user5743,Encrypted,2024-08-12,SCCM
CI849776,MIC4711912580,user8507,Encrypted,2024-10-23,Intune
CI201864,LEN7645202581,user6000,,2024-10-09,Intune
CI514898,MIC5164682583,user6049,Encrypted,2024-08-04,Intune
CI520098,MIC2951242584,user1121,,2024-09-11,JAMF
CI134992,HP6049382585,user4087,,2024-08-25,SCCM
CI292271,MIC8685912586,user9825,Encrypted,2024-09-19,JAMF
CI857075,LEN7680352587,user7627,,2024-09-06,SCCM
CI752860,MIC1102482588,user2704,Encrypted,2024-10-26,SCCM
CI649770,LEN1356352589,user4362,Encrypted,2024-09-26,SCCM
CI538437,HP4203702590,user4300,Encrypted,2024-09-17,JAMF
CI350982,MIC3133482591,user7670,Encrypted,2024-09-11,SCCM
CI317922,DEL8244842593,user6436,Encrypted,2024-09-02,SCCM
CI428944,DEL6948822594,user9848,Encrypted,2024-09-02,SCCM
CI375144,HP9139912595,user9463,Encrypted,2024-09-11,JAMF
CI174739,DEL2661582597,user5183,Encrypted,2024-08-07,SCCM
CI155692,HP9419902598,user2150,,2024-08-28,SCCM
CI731375,APP4059502599,user1806,Encrypted,2024-09-06,JAMF
CI766896,LEN4592982600,user9309,Encrypted,2024-08-19,JAMF
CI896889,MIC5611752601,user9405,,2024-10-05,SCCM
CI756262,MIC9514562602,user3546,,2024-09-15,JAMF
CI987148,MIC9592432603,user1041,Encrypted,2024-09-18,JAMF
CI512229,HP4345182604,user9396,Not Encrypted,2024-08-19,Intune
CI651330,APP5243862607,user5650,Encrypted,2024-08-28,JAMF
CI468451,APP4927182608,user3695,Encrypted,2024-10-10,SCCM
CI714960,DEL5031832609,user4578,Encrypted,2024-08-26,JAMF
CI701772,HP8384112610,user7179,,2024-10-25,JAMF
CI810257,APP9295072612,user2149,Encrypted,2024-09-11,SCCM
CI349342,APP7717542613,user5088,Encrypted,2024-09-07,JAMF
CI143306,APP7356522614,user8917,Encrypted,2024-08-05,JAMF
CI513218,DEL9037672616,user7367,Encrypted,2024-10-27,JAMF
CI199135,MIC1668402618,user3466,,2024-10-03,JAMF
CI777425,APP9366032619,user3030,Unknown,2024-10-01,JAMF
CI774945,MIC8545332620,user8521,Encrypted,2024-10-16,Intune
CI710590,MIC9107562621,user8833,Encrypted,2024-09-05,Intune
CI358225,HP9341742622,user2146,Not Encrypted,2024-10-07,SCCM
CI384962,DEL4840592623,user8908,Encrypted,2024-09-08,SCCM
CI994693,DEL4369552625,user1307,Encrypted,2024-08-12,Intune
CI126772,APP3856152626,user3619,Encrypted,2024-09-04,Intune
CI448525,APP3506332627,user4233,,2024-08-11,SCCM
CI200310,MIC9087982628,user3871,,2024-09-04,SCCM
CI695067,DEL5277572629,user5025,Unknown,2024-10-07,JAMF
CI852270,APP5567522630,user7739,,2024-10-05,JAMF
CI939454,MIC3748832631,user6564,Encrypted,2024-09-14,JAMF
CI902720,APP3567582632,user8448,Encrypted,2024-10-31,SCCM
CI399246,APP4625632633,user5266,,2024-10-19,SCCM
CI710783,LEN3291392634,user6714,,2024-10-21,Intune
CI912848,HP6736232635,user5447,Encrypted,2024-10-16,JAMF
CI779473,DEL2981272636,,Encrypted,2024-10-21,JAMF
CI370993,HP4161802637,user7268,Encrypted,2024-08-31,SCCM
CI725696,APP5612592638,user6791,Unknown,2024-08-27,SCCM
CI980119,MIC7746942639,user8080,Encrypted,2024-08-19,Intune
CI111751,DEL3193602640,user8663,,2024-10-22,JAMF
CI979126,MIC2330362641,,Encrypted,2024-09-20,SCCM
CI294330,MIC2562852642,user4115,Encrypted,2024-08-02,Intune
CI178960,DEL1607382643,user1006,,2024-10-01,JAMF
CI129642,HP6068982644,user7801,Encrypted,2024-10-02,Intune
CI350445,MIC1054162645,user4158,Encrypted,2024-08-28,JAMF
CI899965,MIC8295292646,user7278,Encrypted,2024-08-19,JAMF
CI609261,DEL3643812647,user5926,Unknown,2024-08-27,Intune
CI422261,DEL2281872648,user3695,,2024-08-10,JAMF
CI105495,APP4615962649,user1470,Encrypted,2024-08-18,SCCM
CI425124,APP3930822650,user6246,,2024-08-31,SCCM
CI635270,DEL1260092651,user4171,Not Encrypted,2024-10-01,JAMF
CI605478,APP1937002652,user8113,Encrypted,2024-08-25,Intune
CI294217,LEN5071512653,user2470,Encrypted,2024-10-04,JAMF
CI678121,MIC6265082654,user2295,Encrypted,2024-08-12,Intune
CI944620,DEL5759232655,user7946,,2024-10-21,SCCM
CI978717,LEN7760992656,user7470,Not Encrypted,2024-08-13,SCCM
CI804635,DEL5658382657,user6616,Unknown,2024-09-10,Intune
CI670606,APP2046992658,user8871,Encrypted,2024-08-10,JAMF
CI158233,DEL4218672659,user4663,,2024-08-28,JAMF
CI326428,LEN3411072660,user6645,Encrypted,2024-08-11,SCCM
CI324586,HP8939952662,user4290,,2024-10-28,JAMF
CI989650,APP6240532663,user1337,Encrypted,2024-09-23,Intune
CI437892,MIC3776762664,user1663,Encrypted,2024-08-29,SCCM
CI418438,APP3337702665,user8617,Not Encrypted,2024-09-29,JAMF
CI530968,DEL8995822666,user7571,Unknown,2024-10-24,JAMF
CI106158,APP1074502667,user1477,,2024-10-04,JAMF
CI197158,APP7988652668,user5884,,2024-10-08,SCCM
CI359402,APP9662382669,user5196,Not Encrypted,2024-10-29,SCCM
CI877417,HP2046652670,user2789,,2024-08-12,Intune
CI173134,HP5809662671,user1134,Encrypted,2024-09-02,SCCM
CI573283,APP3646682672,user5616,Encrypted,2024-10-21,JAMF
CI773364,LEN1458732674,user6246,,2024-10-20,Intune
CI397387,MIC5782182675,user1007,Unknown,2024-10-20,Intune
CI151964,MIC2743812676,user7948,,2024-10-16,JAMF
CI936931,APP2330522677,user1042,Encrypted,2024-10-22,JAMF
CI972914,HP5094082678,user6019,Encrypted,2024-10-21,JAMF
CI654481,LEN9862902679,user7426,Encrypted,2024-10-07,JAMF
CI672657,APP5292672680,,Encrypted,2024-10-13,SCCM
CI625945,MIC8232272681,user9323,,2024-09-18,Intune
CI854646,LEN4154652682,user5580,Encrypted,2024-10-11,JAMF
CI614492,MIC9811092683,user7518,,2024-08-28,SCCM
CI574595,HP7966582684,user4445,Encrypted,2024-09-10,JAMF
CI853410,HP4559502685,user1217,Encrypted,2024-08-03,JAMF
CI797093,HP4617102686,user1609,,2024-09-13,SCCM
CI117951,APP4028762687,user5706,Not Encrypted,2024-08-04,JAMF
CI859345,MIC5825582688,user7841,Unknown,2024-10-16,SCCM
CI222609,LEN8873822689,user8089,Encrypted,2024-09-13,SCCM
CI209324,APP6252982690,user7982,,2024-08-21,SCCM
CI564798,APP7519042691,user5084,,2024-08-05,Intune
CI138290,LEN1423332692,user4473,Unknown,2024-10-11,SCCM
CI173444,DEL2868182693,user3592,Encrypted,2024-08-28,SCCM
CI435760,HP2131882694,user2427,Encrypted,2024-10-12,JAMF
CI423103,APP3342012695,user2565,,2024-10-01,Intune
CI204698,LEN8346432696,user7405,Encrypted,2024-08-25,Intune
CI961868,APP9778962697,user9790,,2024-09-03,JAMF
CI852528,DEL4523322698,user9708,,2024-08-20,Intune
CI483919,MIC2144992699,user4961,,2024-10-13,SCCM
CI733087,MIC8855342700,user9459,,2024-10-27,SCCM
CI601401,DEL5067112702,,Not Encrypted,2024-09-01,JAMF
CI514497,HP9437812703,user7610,,2024-10-26,SCCM
CI316409,HP3076082704,user2561,,2024-08-28,Intune
CI960178,LEN8594582705,user3760,,2024-08-05,JAMF
CI116633,APP3058572706,user6960,Encrypted,2024-09-29,JAMF
CI682321,APP4115192707,user4438,Encrypted,2024-10-21,Intune
CI922245,MIC2318832708,user8550,Encrypted,2024-08-16,SCCM
CI990112,LEN6408802709,user7417,Encrypted,2024-08-07,SCCM
CI667749,LEN1671862710,user1067,Encrypted,2024-09-12,JAMF
CI545887,APP4124192712,user3156,Encrypted,2024-10-31,JAMF
CI815900,HP6710262713,user9624,Encrypted,2024-09-14,JAMF
CI958660,HP5308012714,user7275,,2024-09-15,JAMF
CI770169,MIC5436232716,user8579,Not Encrypted,2024-09-13,JAMF
CI232967,APP8772512717,user8452,Encrypted,2024-08-14,Intune
CI846548,DEL4266302719,user5553,,2024-08-03,JAMF
CI901977,MIC5351412720,user6709,Encrypted,2024-08-02,Intune
CI677517,APP7108062721,user9557,,2024-08-23,JAMF
CI806532,MIC4621402722,user9335,Encrypted,2024-09-21,SCCM
CI178938,HP3989792723,user5882,Encrypted,2024-10-01,JAMF
CI349581,LEN2865822725,user7028,Encrypted,2024-10-12,JAMF
CI469071,APP2788082726,,,2024-09-03,Intune
CI333915,LEN4828942728,user1494,Encrypted,2024-10-26,Intune
CI635237,APP4899852730,user5751,Encrypted,2024-09-02,JAMF
CI427874,HP9885722732,user1966,Encrypted,2024-08-21,SCCM
CI774043,LEN2216512733,user6860,,2024-09-29,JAMF
CI704199,DEL5119712735,user4158,,2024-09-02,JAMF
CI863503,DEL2959712736,,,2024-09-18,JAMF
CI143481,LEN4330282737,user8020,Not Encrypted,2024-08-18,Intune
CI640710,APP9780052738,user2611,Encrypted,2024-09-15,SCCM
CI601819,MIC9992802739,user4026,Encrypted,2024-10-15,Intune
CI957176,APP5467632741,user5441,,2024-09-09,JAMF
CI589065,MIC8506312742,user4655,Encrypted,2024-10-20,JAMF
CI314629,DEL5678922743,user3686,,2024-10-21,Intune
CI957213,LEN6816202744,user2808,Encrypted,2024-09-07,Intune
CI524976,MIC7244552745,user4387,Encrypted,2024-09-10,SCCM
CI977511,APP5363012746,user1873,,2024-09-26,Intune
CI343255,DEL4019082747,user2275,Encrypted,2024-09-17,Intune
CI998074,HP2233652748,user8212,,2024-08-18,Intune
CI789468,DEL4378952750,user3167,Unknown,2024-08-22,Intune
CI569910,LEN1270212752,user8507,Encrypted,2024-08-22,SCCM
CI788166,DEL1100962753,user2586,Encrypted,2024-09-18,Intune
CI201569,LEN3943312754,user5355,,2024-09-17,Intune
CI191765,MIC8674712757,user5976,Unknown,2024-08-24,JAMF
CI726015,APP5114042758,user8665,Encrypted,2024-09-13,JAMF
CI931122,HP5189002759,user3573,,2024-08-09,JAMF
CI189612,DEL7518812760,user7999,Not Encrypted,2024-09-28,JAMF
CI625179,HP4531062761,user5924,,2024-10-30,JAMF
CI890151,MIC4085052762,user5689,,2024-08-12,Intune
CI527554,HP1232352763,user2257,Encrypted,2024-10-02,SCCM
CI416596,DEL3906142764,user4701,Unknown,2024-09-05,Intune
CI810360,MIC6461782765,user4265,Encrypted,2024-09-10,Intune
CI542660,HP7724142768,user6393,,2024-10-17,JAMF
CI488835,HP3026522771,user2989,,2024-09-12,Intune
CI481863,HP8986402772,user7365,Encrypted,2024-09-11,Intune
CI296934,HP9017952776,user5252,Unknown,2024-08-26,JAMF
CI969737,MIC2086322777,user6035,,2024-10-28,Intune
CI851840,APP8780982778,user8169,Encrypted,2024-09-04,SCCM
CI871419,MIC7605982780,user8609,Encrypted,2024-09-02,JAMF
CI343195,APP4502062781,user6886,Encrypted,2024-09-20,Intune
CI910694,HP3507952782,user2149,Unknown,2024-09-02,JAMF
CI219009,APP9201832783,user3825,Encrypted,2024-08-22,Intune
CI682620,APP4279042784,user7409,Not Encrypted,2024-10-17,JAMF
CI715904,APP1346702785,user3864,,2024-09-14,JAMF
CI690782,MIC7460042787,user4161,Encrypted,2024-08-04,JAMF
CI946712,APP5234202788,user2918,Encrypted,2024-09-23,Intune
CI273540,APP7440402789,user3296,,2024-08-27,Intune
CI913522,LEN1989842790,user8866,Encrypted,2024-09-08,SCCM
CI580495,HP6138762791,user7021,Encrypted,2024-09-08,SCCM
CI634695,MIC1177682792,user5425,Not Encrypted,2024-10-28,SCCM
CI814595,HP3789882793,user2764,Encrypted,2024-09-30,SCCM
CI104643,APP9817752794,user3110,Unknown,2024-08-18,SCCM
CI172924,HP3272142795,user2345,,2024-10-28,Intune
CI826632,MIC1031272796,user3296,,2024-09-20,SCCM
CI861390,DEL6733502797,user6050,,2024-10-25,JAMF
CI832019,LEN2709002798,user7627,Encrypted,2024-09-29,SCCM
CI666494,LEN6217852799,user2205,Encrypted,2024-09-18,SCCM
CI460328,LEN7355492800,,Encrypted,2024-08-04,Intune
CI654262,MIC6014892801,user9918,Encrypted,2024-09-13,SCCM
CI375175,HP2652032806,user5999,Encrypted,2024-09-09,Intune
CI187765,LEN1674032807,user1988,Encrypted,2024-10-21,JAMF
CI689058,DEL7785702808,user1839,Encrypted,2024-09-23,JAMF
CI708148,LEN6373302809,user1913,Unknown,2024-08-21,JAMF
CI726657,MIC6263062810,user2405,,2024-08-09,Intune
CI356066,DEL1954992811,user2377,Encrypted,2024-10-14,SCCM
CI656531,HP8025432812,user9593,Encrypted,2024-10-16,SCCM
CI260773,HP1343422813,user4997,Encrypted,2024-08-07,JAMF
CI942799,MIC2211812814,user2070,Encrypted,2024-10-10,JAMF
CI261920,LEN5972942815,user3262,,2024-10-16,SCCM
CI500608,DEL7794412816,user5306,,2024-08-11,Intune
CI802783,HP1275662817,user4567,,2024-09-25,Intune
CI966849,HP7516422819,user8067,Encrypted,2024-10-24,JAMF
CI687212,MIC9813552821,user7606,Encrypted,2024-09-16,Intune
CI644521,MIC7775222822,user9505,Encrypted,2024-08-28,Intune
CI706840,APP6135712824,user2111,Encrypted,2024-10-23,SCCM
CI272777,APP2073162825,user4970,,2024-09-28,JAMF
CI374078,APP9463642826,user8179,,2024-09-08,SCCM
CI971729,DEL9139282827,user2167,,2024-10-19,SCCM
CI333316,APP7569102828,user7008,Encrypted,2024-08-24,JAMF
CI363585,LEN9200992829,user9334,Encrypted,2024-10-08,SCCM
CI339355,DEL5837372830,user2750,,2024-09-23,JAMF
CI584817,HP4926742831,user1901,,2024-08-23,Intune
CI449280,LEN3621912832,user5470,Encrypted,2024-08-23,SCCM
CI173064,DEL2012832833,user7748,Encrypted,2024-09-16,JAMF
CI499490,LEN3836212834,user5433,Encrypted,2024-09-26,SCCM
CI210279,DEL4486242835,user8647,,2024-10-06,Intune
CI217813,APP6270792836,user9680,,2024-10-16,SCCM
CI411197,DEL2551322837,user9677,Encrypted,2024-09-24,JAMF
CI986866,LEN2775402838,user5566,,2024-10-03,Intune
CI607246,LEN9695442839,user2268,,2024-10-23,Intune
CI905269,APP3080462840,user1729,,2024-08-24,JAMF
CI780157,MIC5162752841,user8390,,2024-10-23,JAMF
CI353105,APP2951772842,user7437,Not Encrypted,2024-08-09,Intune
CI206971,DEL2463982843,user2264,Encrypted,2024-09-21,SCCM
CI315553,HP2676432844,user7133,,2024-09-04,SCCM
CI466205,MIC5114242845,user4186,Encrypted,2024-10-18,SCCM
CI190449,MIC1518642846,user6503,Encrypted,2024-08-23,Intune
CI489092,DEL3777302847,user4639,Encrypted,2024-09-22,JAMF
CI197731,APP3726602848,user5560,,2024-09-10,JAMF
CI992915,HP5942242849,user6068,Unknown,2024-08-28,SCCM
CI259233,MIC3179522850,user2022,,2024-09-02,SCCM
CI931970,HP2068582851,user8935,,2024-09-29,SCCM
CI762659,DEL8711712853,user7981,,2024-09-25,Intune
CI643724,HP8726102854,user1062,Encrypted,2024-08-05,Intune
CI275166,LEN4965892855,user6574,,2024-10-21,SCCM
CI228185,LEN9314902856,user6019,,2024-10-03,JAMF
CI471355,LEN5507042857,user2697,Encrypted,2024-10-16,SCCM
CI270366,LEN1971442858,user8857,Encrypted,2024-10-25,SCCM
CI529528,LEN8712712859,user6356,,2024-08-15,JAMF
CI930188,DEL8306192860,user5829,Encrypted,2024-08-12,SCCM
CI337948,DEL6304842861,user4983,,2024-10-15,Intune
CI329528,LEN8211572862,user5173,Encrypted,2024-10-25,JAMF
CI721855,DEL4870782863,user2166,Encrypted,2024-08-13,SCCM
CI178707,LEN1042582865,user9161,Encrypted,2024-10-28,JAMF
CI329831,HP9955332866,user6015,Encrypted,2024-08-09,Intune
CI378336,HP6853142867,user8409,Encrypted,2024-10-20,SCCM
CI126551,LEN5555602868,user5267,Encrypted,2024-08-31,JAMF
CI680925,LEN3705312869,user1940,Encrypted,2024-08-18,SCCM
CI150348,HP7785892871,user3425,,2024-10-16,Intune
CI921939,APP7259672872,user4476,,2024-10-20,SCCM
CI821291,MIC7362122873,user4857,,2024-09-21,JAMF
CI817585,HP4273982874,user5902,Encrypted,2024-10-04,SCCM
CI631771,HP4242592875,user6910,Encrypted,2024-09-07,Intune
CI551663,APP6122312876,user8234,,2024-09-19,Intune
CI885868,DEL2075262877,user4743,,2024-08-30,SCCM
CI393773,DEL7482132878,user2442,Encrypted,2024-09-05,JAMF
CI910487,LEN4376432879,user1898,Encrypted,2024-09-03,JAMF
CI992942,MIC9145762880,user4452,Not Encrypted,2024-08-14,JAMF
CI618451,LEN5252892881,user2925,Encrypted,2024-10-05,Intune
CI819254,LEN8206542882,user9765,Encrypted,2024-09-04,SCCM
CI260331,APP2729752883,user8107,Encrypted,2024-10-13,Intune
CI953319,APP6679792884,user3527,Encrypted,2024-10-13,SCCM
CI266790,APP8276742885,user4100,Encrypted,2024-08-06,JAMF
CI292905,MIC7533042886,user2152,,2024-10-23,SCCM
CI715407,MIC9201992887,user6570,Encrypted,2024-10-28,SCCM
CI690251,APP6664832888,user4545,Encrypted,2024-09-12,Intune
CI674978,LEN2979502890,user8638,,2024-10-12,JAMF
CI705123,APP2844932891,user8881,,2024-09-19,Intune
CI729355,DEL9572602892,user8436,Encrypted,2024-09-26,SCCM
CI732483,HP2660532893,user5646,,2024-10-23,JAMF
CI856954,APP8518652894,user4507,,2024-09-13,Intune
CI361686,MIC8871722895,user5979,,2024-10-06,SCCM
CI283116,APP5379832896,user6107,,2024-08-23,Intune
CI609762,APP1698562897,user7775,Unknown,2024-10-07,SCCM
CI162414,MIC8649162898,user6850,Encrypted,2024-10-11,Intune
CI623043,APP9374192899,user6741,Encrypted,2024-09-06,JAMF
CI537073,MIC9827962900,user5615,Encrypted,2024-08-25,SCCM
CI434405,LEN7273562901,user5518,Encrypted,2024-09-10,JAMF
CI722335,HP8502502902,user6566,,2024-09-11,SCCM
CI159730,HP7367342903,user2036,Encrypted,2024-10-11,JAMF
CI193188,MIC7803572904,user2671,Encrypted,2024-09-24,SCCM
CI390001,DEL4913962906,user6389,Encrypted,2024-09-24,Intune
CI681886,MIC9992742907,user7210,Encrypted,2024-10-31,SCCM
CI754934,MIC7165282908,user9444,Not Encrypted,2024-08-24,JAMF
CI441155,APP1218562909,user5125,Not Encrypted,2024-10-20,Intune
CI414904,DEL8428852910,user5240,Unknown,2024-10-13,SCCM
CI539327,HP8711972911,user2393,,2024-09-12,JAMF
CI809740,APP8078572913,user1519,Encrypted,2024-09-22,Intune
CI753652,MIC2028582914,user9929,Encrypted,2024-09-28,Intune
CI696675,DEL8088002916,user2567,,2024-10-23,JAMF
CI908958,HP6251612917,user9528,Encrypted,2024-08-03,JAMF
CI912039,LEN2435532918,user7833,Encrypted,2024-10-31,SCCM
CI817740,APP3571512919,user3095,,2024-08-30,JAMF
CI995295,DEL9827432920,user3172,Encrypted,2024-10-07,Intune
CI453899,DEL8274652922,user5932,,2024-09-13,Intune
CI660019,MIC6874742923,user7208,Encrypted,2024-08-28,SCCM
CI625493,DEL6113652924,user9633,Unknown,2024-08-24,JAMF
CI568487,HP6567702927,user7108,Encrypted,2024-08-30,JAMF
CI771762,LEN6487392928,user2639,,2024-10-25,JAMF
CI563602,DEL7899872929,,Unknown,2024-09-06,JAMF
CI652085,MIC4206342931,user9158,Encrypted,2024-08-26,JAMF
CI103953,DEL4180202932,user2279,,2024-10-07,Intune
CI659651,HP9118322933,user9854,,2024-10-10,SCCM
CI859266,MIC5588322934,user1327,,2024-10-07,JAMF
CI458776,HP3507722935,user9805,Encrypted,2024-10-03,Intune
CI811969,MIC2849242936,user7363,,2024-09-29,SCCM
CI363763,HP1328052937,user3283,Encrypted,2024-08-28,Intune
CI240592,DEL2598092938,user3857,Encrypted,2024-10-14,Intune
CI873716,LEN3362512939,user1877,,2024-09-19,SCCM
CI867379,HP4189052940,user7387,,2024-09-26,Intune
CI511392,LEN6582622941,user7000,,2024-10-27,JAMF
CI337984,APP1724512942,user8959,Encrypted,2024-10-26,Intune
CI859392,APP1050652943,user5586,,2024-08-29,JAMF
CI282827,LEN4694052944,user9639,Unknown,2024-10-19,SCCM
CI138092,LEN7091252945,user5791,,2024-10-11,SCCM
CI861627,LEN8264342946,user6370,Encrypted,2024-10-29,Intune
CI142567,APP9872162947,user5285,Not Encrypted,2024-09-07,JAMF
CI648273,HP5043842948,user7031,,2024-08-14,SCCM
CI183740,MIC4269082949,user1329,,2024-08-07,JAMF
CI931225,MIC5822452951,user8938,Encrypted,2024-10-16,Intune
CI985785,APP2776212952,user3346,Encrypted,2024-09-08,JAMF
CI498307,DEL2569362954,user2642,Encrypted,2024-09-15,Intune
CI205294,DEL4972032955,user9946,Encrypted,2024-09-04,Intune
CI254353,LEN1207202957,user6786,Encrypted,2024-08-15,JAMF
CI543142,LEN7674332958,user3325,,2024-10-19,SCCM
CI326241,APP2365852960,user4380,,2024-08-02,JAMF
CI122413,MIC7448122961,user1178,,2024-09-27,JAMF
CI226066,APP7382542962,user3566,Encrypted,2024-08-29,SCCM
CI615515,APP9071442964,user9538,Encrypted,2024-09-19,SCCM
CI301908,APP4201862965,user5745,,2024-08-15,JAMF
CI181836,DEL6810452966,user5815,Encrypted,2024-10-06,SCCM
CI710546,HP8034312967,user7805,,2024-09-22,Intune
CI172016,MIC9134662969,user7635,Unknown,2024-09-23,JAMF
CI547810,LEN7757682970,user2515,Encrypted,2024-10-19,JAMF
CI957812,DEL1089342971,user7767,Encrypted,2024-10-26,SCCM
CI598647,HP1822002972,user8063,,2024-09-29,JAMF
CI500415,HP3084062973,user7249,,2024-08-04,Intune
CI839722,HP4563762975,user9899,Encrypted,2024-09-18,JAMF
CI653306,LEN4898232976,user8299,Encrypted,2024-08-08,JAMF
CI881860,APP9756022977,user4952,Encrypted,2024-10-04,Intune
CI168305,LEN2657982978,user4574,,2024-08-20,Intune
CI181253,DEL5312332979,user4379,Encrypted,2024-09-17,SCCM
CI865902,HP3422002980,user2145,Encrypted,2024-10-29,Intune
CI798590,MIC6074152981,user6419,Encrypted,2024-09-29,SCCM
CI848164,LEN7990242982,user8792,Encrypted,2024-10-26,SCCM
CI987968,LEN7215782983,,Encrypted,2024-08-24,JAMF
CI477230,LEN8935452984,user2372,Encrypted,2024-08-12,SCCM
CI529468,DEL8180032985,user7698,Encrypted,2024-09-05,Intune
CI436555,HP7794612986,user9446,Encrypted,2024-10-05,SCCM
CI511727,LEN7797422987,user8853,,2024-09-07,JAMF
CI851566,LEN5789462988,user8103,Encrypted,2024-09-09,Intune
CI851319,APP5484582989,,,2024-08-15,JAMF
CI784578,LEN6205682990,user3227,Encrypted,2024-08-15,SCCM
CI612274,LEN1056052991,user7353,Encrypted,2024-09-09,JAMF
CI621572,APP9459762992,user2557,Encrypted,2024-09-10,SCCM
CI990103,APP6451792993,user1130,Encrypted,2024-08-19,Intune
CI654828,LEN9321802994,user7614,Encrypted,2024-09-06,SCCM
CI594282,DEL4593332995,user7991,Not Encrypted,2024-09-20,JAMF
CI533251,LEN5779002996,user7281,Encrypted,2024-08-15,SCCM
CI125662,LEN1129762997,user7822,Not Encrypted,2024-10-22,Intune
CI725942,APP7915602998,user9002,Encrypted,2024-10-24,SCCM
CI752433,LEN8388512999,user7213,Encrypted,2024-09-22,JAMF
CI647466,APP9764393000,user4905,Encrypted,2024-10-25,Intune
CI270632,DEL8477063001,user7265,Encrypted,2024-10-15,SCCM
CI196861,DEL8710813002,user2555,Encrypted,2024-09-10,JAMF
CI289200,APP2920743003,user5022,Encrypted,2024-10-03,Intune
CI124886,HP3797383004,user6892,Encrypted,2024-09-11,SCCM
CI517713,MIC7278783005,user8816,,2024-10-16,JAMF
CI506399,APP9496103007,user1342,Encrypted,2024-08-10,JAMF
